date,open,high,low,close
2021-04-12,0.79760,0.79794,0.79690,0.79740
2021-04-09,0.79574,0.79816,0.79250,0.79770
2021-04-08,0.79230,0.79617,0.79150,0.79560
2021-04-07,0.79520,0.79562,0.79100,0.79240
2021-04-06,0.79821,0.79871,0.79430,0.79525
2021-04-05,0.79419,0.79963,0.79360,0.79781
2021-04-02,0.79703,0.79800,0.79426,0.79470
2021-04-01,0.79582,0.79706,0.79300,0.79660
2021-03-31,0.79165,0.79726,0.79120,0.79583
2021-03-30,0.79391,0.79467,0.79020,0.79155
2021-03-29,0.79499,0.79503,0.79150,0.79399
2021-03-26,0.79270,0.79588,0.79250,0.79500
2021-03-25,0.79450,0.79671,0.79140,0.79297
2021-03-24,0.79440,0.79703,0.79260,0.79454
2021-03-23,0.79829,0.79860,0.79350,0.79430
2021-03-22,0.79810,0.80153,0.79690,0.79800
2021-03-19,0.80025,0.80222,0.79650,0.79940
2021-03-18,0.80572,0.80853,0.79790,0.80016
2021-03-17,0.80310,0.80622,0.80000,0.80550
2021-03-16,0.80119,0.80392,0.79950,0.80347
2021-03-15,0.80120,0.80362,0.79870,0.80103
2021-03-12,0.79740,0.80224,0.79490,0.80090
2021-03-11,0.79200,0.79850,0.79160,0.79740
2021-03-10,0.79070,0.79286,0.78790,0.79190
2021-03-09,0.78920,0.79405,0.78790,0.79050
2021-03-08,0.78971,0.79193,0.78690,0.78900
2021-03-05,0.78940,0.79055,0.78480,0.78988
2021-03-04,0.78970,0.79494,0.78740,0.78928
2021-03-03,0.79090,0.79387,0.78960,0.78995
2021-03-02,0.79030,0.79344,0.78700,0.79116
2021-03-01,0.78500,0.79088,0.78460,0.79058
2021-02-26,0.79280,0.79428,0.78410,0.78430
2021-02-25,0.79870,0.80184,0.79230,0.79290
2021-02-24,0.79390,0.79947,0.79340,0.79860
2021-02-23,0.79220,0.79479,0.79040,0.79413
2021-02-22,0.79269,0.79465,0.78980,0.79210
2021-02-19,0.78830,0.79383,0.78600,0.79210
2021-02-18,0.78630,0.78935,0.78520,0.78810
2021-02-17,0.78760,0.78801,0.78410,0.78690
2021-02-16,0.79070,0.79286,0.78680,0.78740
2021-02-15,0.78812,0.79145,0.78740,0.79080
2021-02-12,0.78670,0.78865,0.78300,0.78720
2021-02-11,0.78690,0.78967,0.78620,0.78660
2021-02-10,0.78730,0.78924,0.78619,0.78690
2021-02-09,0.78440,0.78770,0.78290,0.78740
2021-02-08,0.78346,0.78503,0.78180,0.78440
2021-02-05,0.77900,0.78352,0.77870,0.78330
2021-02-04,0.78160,0.78245,0.77810,0.77940
2021-02-03,0.78190,0.78329,0.78010,0.78170
2021-02-02,0.77770,0.78221,0.77660,0.78190
2021-02-01,0.78168,0.78343,0.77690,0.77740
2021-01-29,0.77890,0.78483,0.77620,0.78220
2021-01-28,0.78080,0.78178,0.77590,0.77890
2021-01-27,0.78740,0.78804,0.77950,0.78040
2021-01-26,0.78460,0.78782,0.78190,0.78710
2021-01-25,0.78611,0.78800,0.78210,0.78420
2021-01-22,0.79080,0.79123,0.78450,0.78480
2021-01-21,0.79070,0.79393,0.79010,0.79070
2021-01-20,0.78460,0.79303,0.78430,0.79100
2021-01-19,0.78350,0.78626,0.78310,0.78470
2021-01-18,0.78457,0.78557,0.78070,0.78370
2021-01-15,0.79060,0.79118,0.78300,0.78460
2021-01-14,0.78700,0.79188,0.78640,0.79030
2021-01-13,0.78630,0.78843,0.78400,0.78700
2021-01-12,0.78170,0.78670,0.78130,0.78610
2021-01-11,0.78661,0.78727,0.77860,0.78170
2021-01-08,0.78730,0.78973,0.78430,0.78440
2021-01-07,0.78840,0.78946,0.78490,0.78740
2021-01-06,0.78870,0.79157,0.78550,0.78820
2021-01-05,0.78220,0.78993,0.78130,0.78870
2021-01-04,0.78511,0.78937,0.78100,0.78230
2021-01-01,0.78522,0.78540,0.78460,0.78510
2020-12-31,0.78350,0.78634,0.78270,0.78470
2020-12-30,0.77950,0.78414,0.77910,0.78370
2020-12-29,0.77750,0.78218,0.77707,0.77950
2020-12-28,0.77368,0.78019,0.77368,0.77780
2020-12-25,0.77680,0.77765,0.77620,0.77650
2020-12-24,0.77770,0.78026,0.77590,0.77630
2020-12-23,0.77420,0.77896,0.77390,0.77790
2020-12-22,0.77740,0.77842,0.77270,0.77420
2020-12-21,0.78110,0.78156,0.77160,0.77720
2020-12-18,0.78570,0.78590,0.78080,0.78160
2020-12-17,0.78430,0.78787,0.78380,0.78550
2020-12-16,0.78680,0.78742,0.78140,0.78430
2020-12-15,0.78310,0.78795,0.78240,0.78690
2020-12-14,0.78168,0.78599,0.78140,0.78300
2020-12-11,0.78430,0.78598,0.78130,0.78230
2020-12-10,0.77970,0.78678,0.77890,0.78440
2020-12-09,0.77960,0.78229,0.77920,0.78170
2020-12-08,0.78080,0.78303,0.77910,0.77960
2020-12-07,0.78219,0.78244,0.77880,0.78080
2020-12-04,0.77680,0.78275,0.77630,0.78170
2020-12-03,0.77360,0.77789,0.77220,0.77700
2020-12-02,0.77250,0.77438,0.77120,0.77360
2020-12-01,0.76860,0.77329,0.76830,0.77260
2020-11-30,0.76714,0.77357,0.76714,0.76820
2020-11-27,0.76760,0.77071,0.76720,0.76940
2020-11-26,0.76830,0.76959,0.76740,0.76770
2020-11-25,0.76900,0.76985,0.76700,0.76830
2020-11-24,0.76380,0.76932,0.76350,0.76880
2020-11-23,0.76254,0.76634,0.76220,0.76370
2020-11-20,0.76460,0.76673,0.76300,0.76320
2020-11-19,0.76390,0.76595,0.76150,0.76450
2020-11-18,0.76260,0.76703,0.76180,0.76380
2020-11-17,0.76440,0.76528,0.76190,0.76250
2020-11-16,0.76040,0.76519,0.76030,0.76440
2020-11-13,0.76030,0.76219,0.75870,0.76100
2020-11-12,0.76490,0.76571,0.76000,0.76040
2020-11-11,0.76720,0.76853,0.76620,0.76680
2020-11-10,0.76820,0.76986,0.76570,0.76680
2020-11-09,0.76454,0.77318,0.76454,0.76830
2020-11-06,0.76600,0.76786,0.76310,0.76530
2020-11-05,0.76070,0.76737,0.75840,0.76600
2020-11-04,0.75960,0.76336,0.75150,0.75450
2020-11-03,0.75620,0.76293,0.75510,0.76010
2020-11-02,0.74850,0.75650,0.74740,0.75610
2020-10-30,0.75036,0.75277,0.74870,0.74990
2020-10-29,0.75042,0.75294,0.74640,0.75010
2020-10-28,0.75810,0.75854,0.74960,0.75030
2020-10-27,0.75686,0.76072,0.75640,0.75811
2020-10-26,0.76108,0.76171,0.75560,0.75650
2020-10-23,0.76121,0.76263,0.75930,0.76090
2020-10-22,0.76073,0.76178,0.75830,0.76080
2020-10-21,0.76157,0.76428,0.75980,0.76064
2020-10-20,0.75807,0.76290,0.75690,0.76144
2020-10-19,0.75805,0.76021,0.75740,0.75750
2020-10-16,0.75625,0.75868,0.75490,0.75730
2020-10-15,0.76048,0.76060,0.75370,0.75600
2020-10-14,0.76095,0.76222,0.75930,0.76020
2020-10-13,0.76246,0.76318,0.76020,0.76082
2020-10-12,0.76153,0.76310,0.76030,0.76236
2020-10-09,0.75760,0.76258,0.75710,0.76170
2020-10-08,0.75398,0.75768,0.75330,0.75710
2020-10-07,0.75085,0.75424,0.74910,0.75340
2020-10-06,0.75402,0.75494,0.75040,0.75081
2020-10-05,0.75159,0.75419,0.75120,0.75350
2020-10-02,0.75260,0.75275,0.74970,0.75110
2020-10-01,0.75066,0.75340,0.75020,0.75230
2020-09-30,0.74670,0.75159,0.74460,0.75040
2020-09-29,0.74762,0.74875,0.74480,0.74635
2020-09-28,0.74692,0.74858,0.74560,0.74740
2020-09-25,0.74840,0.74951,0.74470,0.74650
2020-09-24,0.74680,0.75024,0.74490,0.74837
2020-09-23,0.75155,0.75201,0.74650,0.74706
2020-09-22,0.75107,0.75252,0.74880,0.75151
2020-09-21,0.75750,0.75905,0.75020,0.75109
2020-09-18,0.75956,0.76098,0.75660,0.75670
2020-09-17,0.75865,0.76021,0.75430,0.75920
2020-09-16,0.75833,0.76157,0.75700,0.75875
2020-09-15,0.75869,0.76115,0.75700,0.75826
2020-09-14,0.75799,0.76009,0.75730,0.75830
2020-09-11,0.75800,0.76022,0.75670,0.75800
2020-09-10,0.76047,0.76204,0.75710,0.75768
2020-09-09,0.75493,0.76075,0.75370,0.76052
2020-09-08,0.76363,0.76394,0.75390,0.75489
2020-09-07,0.76467,0.76510,0.76190,0.76330
2020-09-04,0.76133,0.76642,0.76040,0.76520
2020-09-03,0.76634,0.76656,0.75940,0.76090
2020-09-02,0.76542,0.76684,0.76310,0.76600
2020-09-01,0.76642,0.76939,0.76370,0.76510
2020-08-31,0.76382,0.76781,0.76250,0.76620
2020-08-28,0.76158,0.76624,0.76090,0.76320
2020-08-27,0.76076,0.76298,0.75900,0.76156
2020-08-26,0.75905,0.76130,0.75680,0.76030
2020-08-25,0.75635,0.75925,0.75480,0.75870
2020-08-24,0.75894,0.76114,0.75490,0.75630
2020-08-21,0.75858,0.75975,0.75510,0.75760
2020-08-20,0.75686,0.75916,0.75450,0.75820
2020-08-19,0.75967,0.76112,0.75550,0.75660
2020-08-18,0.75588,0.76015,0.75530,0.75920
2020-08-17,0.75409,0.75785,0.75350,0.75589
2020-08-14,0.75611,0.75703,0.75300,0.75320
2020-08-13,0.75472,0.75785,0.75410,0.75609
